Timestamp,F3,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,word_label
7.863525629043579,37,29,21,14,18,6,-8,-10,-2,3,7,3,15,sil
28.91758704185486,22,-37,26,-40,-14,-37,-4,25,24,33,5,51,33,sil
17.009783029556274,-1,-12,0,28,-5,5,28,23,10,-8,0,12,2,sil
5.32363224029541,23,34,5,30,3,60,16,-1,1,15,5,1,0,sil
23.109596490859985,-6,-6,-6,-12,2,-28,-10,6,3,-10,0,9,22,sil
15.048818826675417,0,12,-8,-15,-3,-30,-16,-20,-21,0,3,-12,12,goodbye
29.187190055847168,45,46,12,60,12,77,-6,-8,-23,1,17,-3,15,hello
24.3918399810791,41,47,20,30,9,71,-1,0,16,3,29,19,32,sil
22.25786137580872,15,1,15,21,12,8,-10,-5,-25,-17,-8,-8,-6,sil
11.27411127090454,27,27,21,-7,3,-17,-7,13,30,30,33,42,51,hello
9.59398865699768,-5,25,-44,24,-27,-48,-38,-59,-8,-21,-8,-18,-29,sil
17.03707718849182,-3,27,0,53,-5,76,31,-6,-5,-2,-7,-7,-26,sil
2.509291172027588,7,5,10,-3,6,-5,16,31,10,7,2,-3,-3,sil
15.84640645980835,6,21,-15,6,-12,20,-9,-37,-31,0,-5,-28,-11,sil
8.503698825836182,6,-11,11,-7,0,-32,9,19,28,5,15,23,31,sil
17.54513931274414,-2,-17,-2,-5,11,12,-8,20,4,0,-13,5,5,yes
24.4100022315979,-18,-16,-8,-1,-10,8,1,7,-9,-15,-13,-17,-14,sil
0.2714025974273681,-9,7,-10,10,-22,-10,7,-4,7,-10,-10,-10,-16,sil
1.579160451889038,-10,14,-32,6,34,13,53,40,23,-5,1,-4,-3,sil
15.007637977600098,69,46,80,-1,50,87,10,81,24,105,94,97,89,sil
20.400038242340088,45,-1,48,-5,20,-9,-17,31,6,38,20,41,41,sil
13.286612510681152,1,-2,5,-10,14,-51,3,22,0,8,3,8,33,hello
7.168939113616943,4,-2,0,5,-3,3,-1,19,16,9,2,18,11,sil
13.113672971725464,32,33,17,6,-25,0,-5,28,38,13,12,26,1,sil
6.977026700973511,-44,-25,-22,-27,-30,-49,-36,-11,-15,-54,-44,-52,-68,sil
25.53802943229676,46,9,23,-2,-49,-28,-28,-20,32,25,19,40,45,sil
0.1491022109985351,36,47,32,22,-1,11,-5,-11,11,19,25,38,38,sil
2.834904432296753,55,46,86,33,28,37,14,23,28,36,49,61,39,sil
0.4067981243133545,21,84,3,89,10,-14,9,-8,-10,-28,12,-21,-18,yes
27.82288646697998,-13,-10,-10,1,2,2,-12,-15,-21,-9,-4,-25,-7,sil
10.84780478477478,-7,0,15,-13,9,-6,33,21,29,13,4,26,-7,sil
15.561183214187622,9,-15,5,-6,0,9,0,12,8,5,0,7,13,sil
10.228010177612305,96,5,-4,-30,-53,-78,-46,-65,-55,-4,41,10,109,hello
25.32270050048828,20,22,-20,-7,-17,-20,4,0,5,-15,14,-8,10,sil
27.82301020622253,27,2,10,-18,60,57,40,81,28,38,23,64,56,sil
22.26100444793701,-18,-27,2,-29,-1,-71,-15,-10,0,-3,-9,0,-2,sil
0.7096157073974609,25,10,7,1,0,59,13,-9,-3,7,7,9,18,sil
1.5202908515930176,-37,-36,-1,-3,-16,-11,-4,4,0,0,-15,-18,-21,sil
17.784437894821167,8,8,14,-27,13,-26,-12,21,22,20,34,26,35,goodbye
10.778780937194824,-4,4,-2,4,-39,-1,14,-39,-27,-11,-8,-47,-33,sil
16.840065479278564,8,4,9,-2,-20,-6,-8,-8,28,10,12,17,8,sil
15.104142904281616,-45,-66,-16,-50,12,5,-16,23,7,-8,-25,-9,-20,sil
0.9212713241577148,1,3,-7,14,9,28,-16,-5,-13,-5,-3,-15,-17,hello
16.813058376312256,-5,-4,1,-30,-12,-4,-5,-16,0,7,11,5,5,hello
25.97676396369934,25,27,35,-5,18,5,24,29,14,26,48,49,48,sil
4.283720016479492,3,-6,10,-3,2,-24,-25,5,24,4,10,28,20,sil
21.1465117931366,19,-14,8,-24,-9,-50,-41,-25,-6,-1,6,3,13,sil
4.825870513916016,27,64,17,-51,5,-17,11,0,19,55,33,39,22,sil
11.926630973815918,26,20,-6,-7,-14,20,-12,-38,-20,-2,-25,-23,-21,hello
16.113298416137695,-5,-4,-47,11,-4,57,8,-15,-47,-26,-34,-52,-38,sil
23.380229473114014,67,34,24,1,-5,-11,-5,6,25,2,39,41,65,sil
10.7285635471344,-23,-72,-18,-57,-15,-11,-33,-12,-16,-13,-34,-6,-4,sil
8.342989206314087,17,20,-1,18,-1,-5,7,-13,10,5,4,18,21,sil
10.98081874847412,-14,-3,-23,2,-26,-5,14,0,-15,-15,-8,-20,-22,sil
15.584129810333252,-26,-91,33,-74,-4,-161,-37,27,40,8,-15,45,7,goodbye
19.20206356048584,-40,-32,-18,-33,11,-34,6,17,0,0,-1,0,-7,hello
16.61584711074829,-8,-1,-19,14,-4,45,10,-22,-37,-23,-25,-40,-32,sil
19.68323826789856,20,34,30,5,-23,1,-32,-18,2,15,28,9,14,sil
22.8925724029541,-6,-18,-18,-34,-3,-47,6,13,4,-1,14,14,12,hello
12.202781677246094,-8,0,-2,-3,0,29,6,-4,-9,5,1,-4,-7,sil
23.19119977951049,22,2,-9,34,-10,0,-7,-12,-21,-5,-2,2,7,sil
27.26959180831909,89,64,44,54,55,55,28,85,45,58,61,81,107,sil
23.008098125457764,-38,-27,-11,-14,19,36,-5,6,-1,-9,-15,-17,-17,yes
15.705588579177856,-19,-30,0,-33,-4,-64,-5,0,-11,-13,-10,-9,-18,sil
4.732943058013916,21,24,16,-24,-6,-59,-26,-10,3,4,20,17,35,sil
2.2059080600738525,-14,11,-10,-6,-2,7,-17,-35,-25,12,-4,-41,-33,sil
27.327566146850582,-17,-20,-12,24,-43,7,-19,-16,3,1,-4,3,-15,sil
28.956693410873413,3,8,11,10,4,29,-17,0,-21,-8,-2,-9,-29,sil
24.96334457397461,-21,-40,11,-36,18,-80,-12,16,25,0,-10,18,-12,sil
2.359027624130249,-10,-60,-25,-56,-25,-28,-34,-37,-20,-10,-25,-17,-26,sil
29.02787613868713,13,4,22,-5,-3,-3,-13,-11,21,10,17,22,14,sil
28.00302243232727,62,35,49,18,-22,-25,-51,-20,11,13,46,55,60,sil
6.318790674209595,-16,-6,-11,-8,-4,-37,-7,1,-2,-1,-3,-5,-1,goodbye
18.944211721420288,-50,-18,-16,1,7,14,2,0,-6,4,-16,1,-37,hello
24.92997932434082,6,6,4,-12,0,-28,9,7,0,23,3,4,7,sil
28.06564950942993,36,14,36,1,22,21,-11,32,26,48,29,43,34,sil
8.017669439315796,19,-113,13,-66,15,47,-5,45,29,33,-10,57,44,sil
26.15056252479553,-17,4,11,-20,-3,-23,-10,4,-11,11,-3,0,-22,sil
22.056257724761963,66,16,50,-7,4,-31,-5,-4,31,14,41,73,73,hello
27.302834510803223,4,18,18,19,-84,-45,-38,-21,-25,14,1,-1,3,sil
15.50364875793457,7,12,2,8,4,-9,-7,-18,6,6,-4,-3,-15,sil
0.4449403285980224,-25,17,-37,6,-5,-9,-13,-23,-17,-44,-20,-53,-41,sil
25.07044243812561,-1,-24,5,-26,-16,0,-8,-1,0,0,1,1,6,sil
19.26300382614136,-12,9,3,0,15,13,29,14,3,-3,1,-3,-9,sil
20.52456378936768,0,53,7,23,2,25,15,-12,-11,-3,10,-16,-15,sil
26.43442130088806,30,92,92,62,-5,-4,40,15,2,-30,21,-12,-3,sil
